"description","brandOwner","ingredients","nutrients.Protein","nutrients.Total Fat","nutrients.Carbohydrate","nutrients.Calories","nutrients.Sodium"
"PIZZA","Casey's Bakery","[""CRUST: WHEAT FLOUR, WATER, SOYBEAN OIL, SUGAR, YEAST, SALT"",""SAUCE: TOMATOES, WATER, SOYBEAN OIL"",""CHEESE: CULTURED PASTEURIZED MILK""]",10.6,9.22,19.2,199,461
"PIZZA","The Kroger Co.","[""CRUST: ENRICHED FLOUR, WATER, SOYBEAN OIL, SUGAR"",""SAUCE: WATER, TOMATO PASTE, SPICES"",""CHEESE: MOZZARELLA CHEESE SUBSTITUTE""]",6.8,8.84,32,238,401
